Time [s], Analyzer Name, Decoded Protocol Result
3.565708620000000,SPI,MOSI: 0x02;  MISO: 0x00
3.565716620000000,SPI,MOSI: 0x0F;  MISO: 0x00
3.565843840000000,SPI,MOSI: 0x54;  MISO: 0x00
3.565851840000000,SPI,MOSI: 0x8D;  MISO: 0x00
3.565922700000000,SPI,MOSI: 0x1F;  MISO: 0x00
3.565994880000000,SPI,MOSI: 0x5A;  MISO: 0x00
3.566002880000000,SPI,MOSI: 0x1E;  MISO: 0x00
3.566067860000000,SPI,MOSI: 0x58;  MISO: 0x00
3.566075860000000,SPI,MOSI: 0x00;  MISO: 0x00
3.566135980000000,SPI,MOSI: 0x2A;  MISO: 0x00
3.566143980000000,SPI,MOSI: 0x40;  MISO: 0x00
3.566203560000000,SPI,MOSI: 0x22;  MISO: 0x00
3.566211560000000,SPI,MOSI: 0x3D;  MISO: 0x00
3.566278960000000,SPI,MOSI: 0xA8;  MISO: 0x00
3.566286960000000,SPI,MOSI: 0x00;  MISO: 0x80
3.566355680000000,SPI,MOSI: 0xA8;  MISO: 0x00
3.566363680000000,SPI,MOSI: 0x00;  MISO: 0x80
3.566423480000000,SPI,MOSI: 0x28;  MISO: 0x00
3.566431480000000,SPI,MOSI: 0x83;  MISO: 0x00
3.566633240000000,SPI,MOSI: 0x02;  MISO: 0x00
3.566641240000000,SPI,MOSI: 0x0F;  MISO: 0x00
3.566710980000000,SPI,MOSI: 0x54;  MISO: 0x00
3.566718980000000,SPI,MOSI: 0x8D;  MISO: 0x00
3.566790860000000,SPI,MOSI: 0x56;  MISO: 0x00
3.566798860000000,SPI,MOSI: 0x3E;  MISO: 0x00
3.566861540000000,SPI,MOSI: 0x5A;  MISO: 0x00
3.566869540000000,SPI,MOSI: 0x1E;  MISO: 0x00
3.566927780000000,SPI,MOSI: 0x58;  MISO: 0x00
3.566935780000000,SPI,MOSI: 0x00;  MISO: 0x00
3.567126120000000,SPI,MOSI: 0x22;  MISO: 0x00
3.567134120000000,SPI,MOSI: 0x3D;  MISO: 0x00
3.567196740000000,SPI,MOSI: 0xA8;  MISO: 0x00
3.567204740000000,SPI,MOSI: 0x00;  MISO: 0x80
3.567274500000000,SPI,MOSI: 0x00;  MISO: 0x10
3.567335980000000,SPI,MOSI: 0x28;  MISO: 0x00
3.567343980000000,SPI,MOSI: 0x83;  MISO: 0x00
3.567415320000000,SPI,MOSI: 0x1A;  MISO: 0x00
3.567423320000000,SPI,MOSI: 0x07;  MISO: 0x00
3.567506920000000,SPI,MOSI: 0x04;  MISO: 0x00
3.567514920000000,SPI,MOSI: 0xF7;  MISO: 0x00
3.567577880000000,SPI,MOSI: 0x88;  MISO: 0x00
3.567585880000000,SPI,MOSI: 0x00;  MISO: 0x14
3.567650100000000,SPI,MOSI: 0x08;  MISO: 0x00
3.567658100000000,SPI,MOSI: 0x14;  MISO: 0x00
3.567724740000000,SPI,MOSI: 0x00;  MISO: 0x00
3.567785580000000,SPI,MOSI: 0x14;  MISO: 0x00
3.567793580000000,SPI,MOSI: 0x80;  MISO: 0x00
3.567853100000000,SPI,MOSI: 0x02;  MISO: 0x00
3.567861100000000,SPI,MOSI: 0x00;  MISO: 0x00
3.567936840000000,SPI,MOSI: 0x12;  MISO: 0x00
3.567944840000000,SPI,MOSI: 0x26;  MISO: 0x00
3.568013520000000,SPI,MOSI: 0x02;  MISO: 0x00
3.568021520000000,SPI,MOSI: 0x0C;  MISO: 0x00
3.568085280000000,SPI,MOSI: 0x9A;  MISO: 0x00
3.568093280000000,SPI,MOSI: 0x00;  MISO: 0x07
3.568223500000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568231500000000,SPI,MOSI: 0x00;  MISO: 0x04
3.568296080000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568304080000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568367200000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568375200000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568436980000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568444980000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568506740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568514740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568577260000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568585260000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568647260000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568655260000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568718100000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568726100000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568787700000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568795700000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568858760000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568866760000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568928340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.568936340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.568998280000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569006280000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569067540000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569075540000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569138040000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569146040000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569209920000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569217920000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569279780000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569287780000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569349460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569357460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569419100000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569427100000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569489360000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569497360000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569559100000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569567100000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569628740000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569636740000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569698760000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569706760000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569769460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569777460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569840160000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569848160000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569910020000000,SPI,MOSI: 0x88;  MISO: 0x00
3.569918020000000,SPI,MOSI: 0x00;  MISO: 0x44
3.569985120000000,SPI,MOSI: 0x00;  MISO: 0x08
3.570049720000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570057720000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570120820000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570128820000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570191040000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570199040000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570261700000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570269700000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570331700000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570339700000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570401340000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570409340000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570471900000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570479900000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570544820000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570552820000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570614860000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570622860000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570684520000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570692520000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570754320000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570762320000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570825360000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570833360000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570895460000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570903460000000,SPI,MOSI: 0x00;  MISO: 0x44
3.570965160000000,SPI,MOSI: 0x88;  MISO: 0x00
3.570973160000000,SPI,MOSI: 0x00;  MISO: 0x44
3.571034800000000,SPI,MOSI: 0x88;  MISO: 0x00
3.571042800000000,SPI,MOSI: 0x00;  MISO: 0x44
